year,area,volume
2010,960.4584999999998,58.814150800000036
2012,960.4584999999998,58.814150800000036
2014,960.4584999999998,58.814150800000036
2016,959.5652,58.797857300000054
2018,941.9287999999998,57.67476709999995
2020,927.7388999999974,55.94049480000004
2022,917.8624,54.720302800000006
2024,877.4616999999996,51.32928400000003
2026,826.0123999999987,47.55297450000004
2028,791.5224999999995,44.62016189999999
2030,709.9965000000003,39.190051299999986
2032,671.4345000000001,36.33970170000001
2034,624.9729000000004,33.48581000000001
2036,594.5963,31.79171269999999
2038,562.7079999999997,29.7860827
2040,529.2364000000001,27.5589968
2042,481.68679999999966,24.723563100000014
2044,414.4184999999999,20.677982499999985
2046,384.4337000000001,18.532884699999997
2048,332.70500000000027,15.899502000000002
2050,293.36759999999975,13.313467099999999
2052,267.6753999999999,11.659784
2054,260.3535,10.8650778
2056,234.5925000000001,9.590312399999998
2058,217.86750000000006,8.376799000000004
2060,214.14109999999994,7.884287499999998
2062,184.4236999999999,6.518212600000004
2064,161.61660000000006,5.395720399999997
2066,143.78530000000006,4.458225499999999
2068,134.10860000000008,3.816928800000003
2070,118.4967,3.1115248
2072,102.87729999999998,2.515201700000001
2074,92.30050000000001,2.0279639999999994
2076,83.27510000000004,1.6937388999999998
2078,62.425799999999995,1.1011887000000002
2080,53.37179999999999,0.8016003000000002
2082,35.47220000000001,0.4658697000000001
2084,28.622999999999987,0.4332388999999998
2086,25.5389,0.4243415
2088,19.88650000000001,0.36577640000000017
2090,17.3204,0.3060294999999999
2092,17.3458,0.3180984
2094,13.8765,0.21214190000000005
2096,13.270199999999997,0.19992140000000003
2098,10.735800000000003,0.14788969999999999
2100,10.373200000000004,0.12943330000000003
