year,area,volume
2010,960.4585,58.8142
2012,960.4585,58.8142
2014,960.4585,58.8142
2016,959.4346,58.7921
2018,942.251,57.703
2020,928.2822,56.0536
2022,920.604,54.9923
2024,886.4456,51.7396
2026,878.039,50.8822
2028,871.6942,50.2141
2030,868.366,49.7088
2032,839.2262,47.645
2034,798.7336,44.6145
2036,795.4989,43.9326
2038,706.5949,38.8943
2040,673.2827,36.2836
2042,660.0654,34.947
2044,632.594,33.3927
2046,616.6214,32.0769
2048,578.8381,30.0615
2050,542.8874,27.7718
2052,528.1152,26.6301
2054,502.0752,24.8473
2056,467.1857,23.0211
2058,421.8914,20.6973
2060,407.5348,19.3341
2062,382.0289,17.8221
2064,335.6881,15.3346
2066,311.9864,13.5526
2068,283.4631,12.1677
2070,259.9567,10.5045
2072,232.6775,9.0342
2074,213.0053,7.9422
2076,206.7844,7.527
2078,165.361,5.6827
2080,154.6384,4.9827
2082,139.7066,4.0689
2084,129.5969,3.5064
2086,100.0825,2.5325
2088,87.5499,1.9155
2090,74.7323,1.4834
2092,69.9068,1.2822
2094,57.723,0.9264
2096,48.5045,0.6737
2098,38.7169,0.5419
2100,28.8936,0.4349
