mapbox-id,sgi_id,name,min_lng,min_lat,max_lng,max_lat,slope_deg,aspect_deg
1,A10g-02,Seegletscher,10.020809278732914,46.88735184278696,10.029914097492563,46.89399483470977,20.39,320
2,A10g-04,,10.088630179717091,46.85737610003145,10.091729022893697,46.85838647329122,32.99,268
3,A10g-05,Silvrettagletscher,10.056687103730235,46.84325208503099,10.093853878079992,46.860183199658735,13.48,296
4,A10g-07,Chammgletscher,10.07606700301023,46.840836551102306,10.08504102121679,46.845115102833915,28.9,267
5,A10g-08,Verstanclagletscher,10.06067447518023,46.83581870592438,10.08211049086143,46.845588744230994,23.5,331
6,A10g-09,Chlein Wintertälli,10.040217395487026,46.83474182504529,10.045616739593221,46.83771695521196,28.38,343
7,A10g-11,Roggengletscher,10.009155893866618,46.83572977931114,10.012190218706731,46.83725686233979,27.0,20
8,A10g-12,Vernelagletscher,10.057548961303207,46.83175413194886,10.070177683361145,46.83688595886419,20.03,261
9,A10g-14,Zadrellgletscher,10.054699654627035,46.81403114834472,10.060787063467437,46.81714118821169,28.21,344
10,A10g-15,Plattenhörnergletscher,10.028133622694977,46.81018731955258,10.048447071534268,46.81472166141616,36.77,3
11,A10g-18,Jörigletscher,9.965270840659045,46.76428321723821,9.97206226215601,46.76921109233335,22.84,351
12,A10g-21,Hafentälli,9.943677854731964,46.81524386883361,9.948929608808708,46.816908805277684,28.72,4
13,A10g-24,,10.090174495189004,46.852009148076036,10.091919783258739,46.85346975923018,34.27,290
14,A10g-27,,10.064461580504116,46.83643420727047,10.066630621518433,46.837629350638984,26.61,259
15,A12d-03,Scalettagletscher,9.946109898127995,46.693696680898285,9.95703504798181,46.699406475789694,30.97,335
16,A12d-08,Chüealptal-Sertig,9.892091817368316,46.681999421361624,9.896062178117274,46.684503556215944,32.93,337
17,A12d-10,Ducangletscher,9.827010718684537,46.67583989915267,9.836740198502966,46.6816242579102,25.28,340
18,A12e-04,Vadret da Porchabella W,9.867837893149577,46.62028660499563,9.89081159407316,46.63391398743448,17.65,1
19,A12e-06,Vadret Pischa W,9.866655881689331,46.61812807723833,9.869056358525413,46.62020576006216,26.39,319
20,A12e-07,Vadret Üertsch Ost,9.839207946983716,46.5980996518146,9.844647229500364,46.602976947193525,27.13,1
21,A12e-09,Vadret Üertsch West,9.833171726078614,46.598367136341665,9.835217019144494,46.600006398656795,33.32,8
22,A12e-10,Vadret da Porchabella NW,9.890214820805793,46.62961647377743,9.893781637184546,46.63378707536111,19.15,315
23,A12f-01,Vadret da Tisch,9.828879582628081,46.598758192735936,9.831847303474392,46.60077085719647,30.41,326
24,A12g-02,,9.727191603598943,46.554321380552345,9.729242262111134,46.55560906688651,35.53,13
25,A12g-04,Vadret digl Ela,9.711581970271874,46.59951827561805,9.717610936235308,46.603327133949875,28.75,22
26,A12g-06,Piz Ela N,9.707037882510194,46.60292709927142,9.710038755878024,46.60610867696778,40.66,14
27,A12h-02,,9.703719540546986,46.60928105063657,9.708107896217319,46.61090562346094,36.77,11
28,A12i-03,Vadret d'Err N,9.693272410700486,46.54275133613203,9.705526332057339,46.54688434258361,24.31,38
29,A12i-04,Piz d'Err N,9.687060382486804,46.54570841706135,9.691818110497817,46.550066837215084,26.89,358
30,A12j-02,Vadret d'Err NW,9.692742465276112,46.54305629303235,9.694939130882837,46.5446864095031,14.32,247
31,A12k-02,,9.723515496637427,46.45022303799566,9.725367225448382,46.451628121254416,39.43,342
32,A12l-02,Juppenhorn,9.57194243916339,46.46737835740634,9.576000835025518,46.469610417584796,33.92,2
33,A12l-03,Vadret da Piz Platta,9.560953729674656,46.47857175302014,9.570607838075546,46.480809324443,28.13,28
34,A12l-04,Piz Platta E,9.564313617674273,46.48488959543279,9.56693346465895,46.48687939107401,30.9,92
35,A12l-05,,9.553312298451216,46.48568400519571,9.557805696700834,46.49048098584628,25.88,4
36,A13b-03,Glatscher da Sut Fuina,9.466979280654826,46.53299187865782,9.47904037819911,46.53761331280423,24.48,356
37,A13c-01,Usser Wissberg,9.523472245138317,46.49219276485104,9.526251931446234,46.4945658381231,29.75,8
38,A13e-03,Piotgletscher,9.583884907633008,46.40392006279935,9.588285129118912,46.40684692421135,23.41,5
39,A13g-05,Vadrec da Gallagiun,9.490967042102154,46.36873827131328,9.498170656954493,46.370205748619696,29.53,22
40,A13g-07,Ghiacciaio del Pizzo Rosso,9.462268120478491,46.38071188871033,9.467593202614951,46.384332600396014,21.86,56
41,A13g-10,Vadrec da la Bles,9.470168404289039,46.399551155212976,9.47357376121879,46.400984350901545,31.73,1
42,A13h-01,Piz della Palù,9.420137639348551,46.475437604944666,9.423917202208074,46.478570884333436,32.24,334
43,A13h-02,Glatscher da Niemet,9.410776917091104,46.468287650824706,9.415626700958693,46.473744255417714,26.34,338
44,A13i-01,Surettagletscher E,9.379749295518177,46.50771672686523,9.389295177240502,46.512981623068335,28.13,334
45,A13i-02,Surettagletscher W,9.363449302305725,46.50403179355241,9.380462383942112,46.51814498113343,25.82,25
46,A13i-04,Surettalückli,9.359760601419797,46.52190497383904,9.363271115402812,46.52424797796162,30.86,26
47,A13i-05,Piz Muttala,9.389026953321359,46.512699534224325,9.393690841057184,46.51612071081271,28.06,339
48,A13j-02,Schwarzhorngletscher (Splügen),9.35479909346629,46.512758435058814,9.361426180504074,46.51676628825973,23.29,342
49,A13k-02,,9.297374580300955,46.50020014737841,9.299751985436629,46.50198147699573,34.7,350
50,A13k-03,Tambogletscher,9.286896772470953,46.501534763021176,9.294592737562647,46.505984044828516,25.87,22
51,A13l-02,Ghiacciaio del Tambo,9.276658483972964,46.493406676036614,9.279791068295893,46.49715940041463,29.45,273
52,A13l-04,Ghiacciaio de la Curciusa,9.252539468817828,46.44960160039433,9.272014751257226,46.46009314638208,25.4,330
53,A13l-07,,9.22562003963982,46.48144014038519,9.228054086674906,46.48282516270526,33.19,17
54,A13n-01,Zapport-Gletschertobel,9.130351107774787,46.48920401677028,9.134653725401817,46.49378405095818,33.23,322
55,A13n-02,Zapport-Breitstock,9.113134468356218,46.481651697159755,9.128139870106528,46.489732152188374,33.35,343
56,A13n-03,,9.098712527287201,46.478263757586646,9.10418731304304,46.480949384618285,39.07,337
57,A13n-04,Zapportgletscher,9.076145715724708,46.47674477279754,9.115241619382939,46.488174390225694,23.48,12
58,A13n-06,Paradiesgletscher,9.040915511469489,46.47670302802247,9.07649106136257,46.492158015717955,18.21,356
59,A13n-07,Rheinwaldhorngletscher,9.040141149869738,46.49324424967945,9.046066154525674,46.50377424286243,30.14,74
60,A13o-01,Höhberggletscher,9.102079712613069,46.50759083717181,9.113227393985719,46.51248343663815,23.47,35
61,A13o-03,Chilchalpgletscher,9.157125313039264,46.5355671156245,9.162728752291656,46.54108148177198,18.85,52
62,A14c-03,Fanellgletscher,9.126418527698576,46.526854772826425,9.153951475518799,46.53925586164879,18.89,2
63,A14d-01,Guraletsch,9.129262142297815,46.54927844032438,9.134845189430044,46.54996040786498,40.65,13
64,A14d-04,Lorenzhorngletscher,9.113152073187132,46.52254365822682,9.117515912856172,46.52590358150601,25.18,333
