year,area,volume
2010,960.4584999999998,58.814150800000036
2012,960.4584999999998,58.814150800000036
2014,960.4584999999998,58.814150800000036
2016,959.2659,58.78734970000004
2018,941.3762000000003,57.64655109999998
2020,915.8700999999988,54.72829000000002
2022,902.8377999999996,53.66462620000012
2024,882.5193000000013,51.711417099999935
2026,863.942799999999,50.240266300000044
2028,867.5015999999999,50.347972500000004
2030,826.7503,47.6859759
2032,810.8113000000002,46.05133689999998
2034,751.857200000001,42.50412020000002
2036,734.1700000000006,40.312073799999986
2038,703.3228000000006,38.58672280000006
2040,670.0219000000005,36.317291099999984
2042,644.6253000000015,34.250413899999955
2044,597.9908999999996,31.86222490000002
2046,581.5615999999998,30.43087559999999
2048,566.4645999999998,29.10622090000004
2050,538.0874999999994,27.404293000000013
2052,510.79080000000056,25.901959500000007
2054,507.5502000000001,25.237211300000002
2056,463.8409999999999,22.789289099999998
2058,430.7914999999999,20.92990589999999
2060,413.5540000000001,19.528136699999994
2062,405.8954000000001,18.925963500000012
2064,393.0903000000002,18.01733809999999
2066,380.5591999999999,17.28078579999998
2068,377.00329999999974,16.9057845
2070,352.0668999999997,15.333270599999997
2072,314.1571,13.460783500000003
2074,311.6541999999999,13.205147899999991
2076,309.40639999999985,12.964707800000001
2078,307.82770000000005,12.633441599999998
2080,302.00820000000004,12.130898100000003
2082,288.35229999999984,11.401506699999997
2084,285.3151000000002,11.116645300000002
2086,287.4533,11.088983299999999
2088,293.3764999999998,11.096924000000012
2090,295.2882000000001,11.19352
2092,281.2429,10.474648799999997
2094,285.3570999999997,10.496502199999998
2096,291.52340000000015,10.600214199999995
2098,263.85779999999994,9.501139900000004
2100,239.5553,8.632759400000003
