year,area,volume
2010,960.4585,58.8142
2012,960.4585,58.8142
2014,960.4585,58.8142
2016,959.5652,58.7979
2018,941.9288,57.6748
2020,927.7389,55.9405
2022,917.8624,54.7203
2024,877.4617,51.3293
2026,826.0124,47.553
2028,791.5225,44.6202
2030,709.9965,39.1901
2032,671.4345,36.3397
2034,624.9729,33.4858
2036,594.5963,31.7917
2038,562.708,29.7861
2040,529.2364,27.559
2042,481.6868,24.7236
2044,414.4185,20.678
2046,384.4337,18.5329
2048,332.705,15.8995
2050,293.3676,13.3135
2052,267.6754,11.6598
2054,260.3535,10.8651
2056,234.5925,9.5903
2058,217.8675,8.3768
2060,214.1411,7.8843
2062,184.4237,6.5182
2064,161.6166,5.3957
2066,143.7853,4.4582
2068,134.1086,3.8169
2070,118.4967,3.1115
2072,102.8773,2.5152
2074,92.3005,2.028
2076,83.2751,1.6937
2078,62.4258,1.1012
2080,53.3718,0.8016
2082,35.4722,0.4659
2084,28.623,0.4332
2086,25.5389,0.4243
2088,19.8865,0.3658
2090,17.3204,0.306
2092,17.3458,0.3181
2094,13.8765,0.2121
2096,13.2702,0.1999
2098,10.7358,0.1479
2100,10.3732,0.1294
